review_tokens_stemmed,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
beautiful package bintang safety nya,"{'classified_text': 'beautiful package bintang safety nya', 'tweet_text': ' beautiful package bintang safety nya', 'sentence_score': ['beautiful package bintang safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",beautiful package bintang safety nya, beautiful package bintang safety nya,['beautiful package bintang safety nya'],1,-1,netral
tipe kulit kering,"{'classified_text': 'tipe kulit kering', 'tweet_text': ' tipe kulit kering', 'sentence_score': ['tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kering, tipe kulit kering,['tipe kulit kering'],1,-1,netral
kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak,"{'classified_text': 'kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak', 'tweet_text': ' kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak', 'sentence_score': ['kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak, kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak,['kirim beda provinsi gapapa packingnya aman [5] banget moga cocok [3] baik [5] kulit tipe kulit minyak'],5,-1,positif
top,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",top [4], top,['top [4]'],4,-1,positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2], tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] kulit jerawat kulit pori tipe kulit sensitif [-2]'],1,-2,negatif
exp,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp, exp,['exp'],1,-1,netral
no review found,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",no review found, no review found,['no review found'],1,-1,netral
banget sih beli bagus banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka muncul,"{'classified_text': 'banget sih beli bagus [5] banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4] muncul', 'tweet_text': ' banget sih beli bagus banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka muncul', 'sentence_score': ['banget sih beli bagus [5] banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4] muncul'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",banget sih beli bagus [5] banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4] muncul, banget sih beli bagus banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka muncul,['banget sih beli bagus [5] banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen [4] sensasi [-2] pakai feelnya beda moga ngaruh jerawat suka [4] muncul'],5,-2,positif
tipe kulit minyak,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
tipe kulit minyak kulit pori,"{'classified_text': 'tipe kulit minyak kulit pori', 'tweet_text': ' tipe kulit minyak kulit pori', 'sentence_score': ['tipe kulit minyak kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak kulit pori, tipe kulit minyak kulit pori,['tipe kulit minyak kulit pori'],1,-1,netral
